patch_index,log_spectral_distance_db,spectral_convergence,normalized_rms_difference
490,6.588028976259451,0.3089564445887461,0.879999218312833
491,2.0771453836679407e-05,5.2466157422099224e-08,0.0
492,5.003774348660844e-05,5.153369310393623e-08,0.0
493,6.251567081853728e-05,5.087989027477157e-08,0.0
494,4.513669147331131,0.0784379547511843,0.7153888272023834
495,0.0002323324529551574,4.981701317199145e-08,0.0
496,3.091742782126388e-05,5.20759666352268e-08,0.0
497,6.191025914065266e-05,5.2115442861146795e-08,0.0
498,12.273472439917668,1.3079628438844444,1.4157814561544848
499,1.99569418165685e-05,4.709656707378856e-08,0.0
500,0.0005414708506515396,4.948734444629923e-08,0.0
501,0.0001477077664867291,5.2189189320069116e-08,0.0
502,5.78644485616428,0.9297932708538067,1.2651762451350383
503,8.055551731665893e-05,4.6435890786395306e-08,0.0
505,5.121990398446875e-06,4.828168620257494e-08,0.0
506,0.0001638737965405687,5.584138541051013e-08,0.0
507,2.650478948241657e-05,4.7994997909607886e-08,0.0
508,8.219844429586852e-05,5.0211125944858896e-08,0.0
509,1.3048835910494472e-05,4.711740619579503e-08,0.0
510,0.0002604063307153742,3.849902809464724e-08,0.0
511,6.380723098915113e-05,4.9238214859054405e-08,0.0
514,8.675855351606534,1.3781343368657497,1.4136935226136509
516,6.405172213383837,0.04126081568157301,1.895452956144417
517,9.209067946754384e-05,5.274933381405029e-08,0.0
519,0.0001329924668569456,4.5964764177465684e-08,0.0
521,3.248522951577555e-05,5.16071139692419e-08,0.0
522,0.00025599785465239947,5.14505634982198e-08,0.0
524,1.0068300954189733e-05,5.0559441181847486e-08,0.0
525,6.4495011658524655e-06,5.371762248852211e-08,0.0
526,9.422882369566194e-06,5.650794253684945e-08,0.0
527,7.990112250970146,1.1180182367712774,1.427366203512416
529,1.020186056459502e-05,5.423160835345352e-08,0.0
530,9.325394371363712,0.9288040325337612,1.459964022120088
531,7.81644570347878e-05,5.572305438658344e-08,0.0
532,2.5644482307668606e-05,4.875219820262561e-08,0.0
534,9.268898865557487,1.0079922503193712,1.438611865752427
535,1.7229566029033493e-05,5.0874758121614555e-08,0.0
536,1.0194836782946819e-05,4.7916927202433944e-08,0.0
537,8.541044096315716,1.3391479039926988,1.405259269689426
538,1.2552106445535928e-05,4.4687770246700783e-08,0.0
539,6.60873379811386e-05,4.72250193172505e-08,0.0
540,1.787509025802133e-05,4.345910813220513e-08,0.0
541,8.816241231260225e-05,4.5951378637702976e-08,0.0
542,0.00010094722952246758,5.077691338046448e-08,0.0
543,2.394123403863285e-05,5.13586657617242e-08,0.0
544,5.208935089571557e-05,4.871708917794666e-08,0.0
547,9.511415662912515e-05,5.428088354440258e-08,0.0
548,9.280570334514595e-05,4.50420013208121e-08,0.0
549,0.00011900383527981762,4.950928808477622e-08,0.0
550,2.8439574137458973e-05,5.147794332472454e-08,0.0
551,6.469000099278609e-05,4.939177301321944e-08,0.0
552,7.775254063411994,1.0235242080478157,1.3658760044225486
554,1.5128947460160744e-05,4.79475814876498e-08,0.0
