patch_index,cross_engine_lsd_db,context_leakage_lsd_db
703,3.2998946704143964e-05,0.0
704,2.4222629437089103e-05,0.0
706,1.7515322509668772e-05,0.0
707,0.0001036833983336,0.0
708,6.325669517461928,7.557463240458334
709,4.348333468862629e-05,0.0
710,1.0181040763860664e-05,0.0
711,1.080380089726515e-05,0.0
712,0.0001202154088792,0.0
713,0.0003177843958103,0.0
714,0.0002050194807393,0.0
715,4.269686865846042e-05,0.0
716,0.0001802665785853,0.0
717,0.0008321267177944,0.0
718,8.766862290120233,7.409418218546275
719,0.0004447113152965,0.0
720,2.8976805874161197e-05,0.0
722,4.305244331312901e-05,0.0
724,3.718533385065383e-05,0.0
725,1.5088141644075213e-05,0.0
726,0.0001107982717944,0.0
727,3.2273590855477495e-05,0.0
728,1.3921248718246264e-05,0.0
729,0.000385919881044,0.0
730,12.054143831519768,11.980664391962758
732,2.4007753105214125e-05,0.0
734,2.402447118304096e-05,0.0
736,7.960589788710802,8.628769861802615
737,0.0004862147074153,0.0
738,8.861661467584198e-05,0.0
739,1.0001523235574135e-05,0.0
741,1.4745512503705792e-05,0.0
742,7.854731783116493e-05,0.0
743,5.31889655563381e-05,0.0
744,1.598319241583973e-05,0.0
745,1.0477280310014634e-05,0.0
746,4.540833661566347e-05,0.0
747,6.197341647074849e-06,0.0
748,6.401035599321949e-06,0.0
749,1.826932374786516e-05,0.0
750,1.841211834940897e-05,0.0
751,5.391731783152644e-06,0.0
752,2.9874633781357784e-05,0.0
753,8.651491902414175,8.952028033089825
755,0.0002799250847332,0.0
756,1.39430558214847e-05,0.0
